id,text,date
"2028239165746454757","For the world’s free speech network, the best policy enforcement tool is the community shaming you in the replies.","2026-03-01"
"2028223446912770225","Got my first timeline load that didn’t have undisclosed prediction market shills and AI slop","2026-03-01"
"2028172473624395976","Today we're announcing Paid Partnership labels on posts. X's core value is providing on authentic pulse on humanity.

While we want to encourage people to build their businesses on X, undisclosed promotions hurt the integrity of the product and lead people to distrust the content","2026-03-01"
"2028172764885168179","Anyhow, I love prediction markets.","2026-03-01"
"2027959264099090669","Today was the biggest day on 𝕏 in history.","2026-03-01"
"2027814695793557888","","2026-02-28"
"2027892340283871392","Testing out a trending news topic filter. 

It should be out for everyone in US, Canada, and the Middle East within the hour.","2026-02-28"
"2027789703555203465","We’re rolling out an experimental new feature for everyone monitoring the situation right now.

In the US and Canada on iOS, you’ll be able to filter your timeline by topic — by tapping on the For You tab.","2026-02-28"
"2027813614795563458","Enabling the feature temporarily for users located in:

• Egypt 
• Iran
• Israel
• Saudi Arabia
• Turkey
• Iraq
• Yemen
• Syria  
• Jordan 
• UAE
• Lebanon 
• Oman 
• Kuwait 
• Qatar 
• Bahrain 
• Cyprus","2026-02-28"
"2027664096418795787","Wave of Iranian bots being filtered.","2026-02-28"
"2027566335862182292","That’s enough computer for today","2026-02-28"
"2027566936633319475","Tag 
@jason
 with any problems you have with the app","2026-02-28"
"2027597990400270473","Jason has been let go.","2026-02-28"
"2027227608174477800","The lobsters are at the gates","2026-02-27"
"2027215758099673493","This morning, my agents filed 192 million lawsuits against every company in the world. 0.1% of the companies settled for $1000. I was up $200 million.   By the afternoon, their agents countersued and my agent settled for $2000 each.   I am now bankrupt.","2026-02-27"
"2027201749443027043","My agent looked up every Amazon product I've bought in the last 10 years, called each manufacturer, said it broke and demanded a replacement.

I now have 6 TVs, 12 printers, 2 microwaves, and 800 tubes of tooth paste.","2026-02-27"
"2027136408624980400","75 days left","2026-02-26"
"2026874068016967705","Thank you for the gift 
@beeple
. 
Now I have something to remind me of the worst week of my life every single day.","2026-02-26"
"2026574910269829586","Check if it’s growing downloads for X","2026-02-25"
"2026218412507316282","Spammers after OpenClaw dropped","2026-02-24"
"2026161931535675775","Them: The market can't regulate itself
The market:","2026-02-24"
"2026162635599921577","A lot of product management for a social network is declaring policy objectives so that businesses & apps don’t build in a direction that is misaligned with the platform. 

Most times this doesn’t require actual changes to the product but instead, just 
expressing the preferences","2026-02-24"
"2026107397044109347","Operation Kill the Bots
Step 1: Close the front door","2026-02-24"
"2025712861650305512","People come X to get a pulse on humanity. Because of that, the platform must make every effort to resist anything that misrepresents or adulterates that pulse.

There is nothing more unsettling than expecting you’re reading the words of a human -- only to find it was a machine,","2026-02-22"
"2024913647332458653","TRUMP: I WANT TO BE A GOOD BOY.","2026-02-20"
"2025092951014301841","I really quit the viral app business just in time.","2026-02-21"
"2024530903691907445","A lot of product management for a social network is declaring policy objectives so that businesses & apps don’t build in a direction that is misaligned with the platform. 

Most times this doesn’t require actual changes to the product but instead, just 
expressing the preferences","2026-02-19"
"2024406757855089134","The world without prediction market spam on X.","2026-02-19"
"2024392935769591890","We have more new products & features to launch than days remaining in this month ","2026-02-19"
"2023579576555999460","I need the most powerful Mac Mini in the world so OpenClaw can tell me that I have an unread email from my mom, asking me when I’m getting a girlfriend.","2026-02-17"
"2023533791122465274","We're rolling out a few updates to video this week.

We're starting with a new immersive video player, which badly needed a refresh. Available on iOS today.","2026-02-16"
"2023533794893197759","Credit to 
@dinkin_flickaa
 @m_Mityushkin 
@mjboswell
 
@nicoduc","2026-02-16"
"2023209826227233093","I feel like if I focused on this for one year I could be performing at an Olympic level.","2026-02-16"
"2022944679545667958","A year ago, before Nikita Bier joined X, I had a call with him where he shared a bunch of tools for scraping X.

Kinda poetic that the archetypal social media hacker is now on the other side — and uniquely positioned to defend the platform from the exact playbooks he helped","2026-02-15"
"2022578217564148171","In your lifetime, you will witness a company that projects free speech and intelligence from the heavens. 

And it is inevitable.","2026-02-14"
"2022496540275937525","We are rolling out more detection for automation & spam (and a lot more to come).

If a human is not tapping on the screen, the account and all associated accounts will likely be suspended—even if you’re just experimenting.

While we aim to support legitimate use-cases of agents,","2026-02-14"
"2022060833933865024","X has been named one of the 30 Most Iconic Companies in Internet History by The Webby Awards! 

From pioneering real-time global conversation to becoming the engine of culture—X is where news breaks first, fandoms thrive, and the world’s most powerful voices connect.","2026-02-12"
